param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,mean_test_score,std_test_score,rank_test_score
300,10,2,1,0.5,True,0.8050837417925699,0.04160642473505771,263
800,30,5,1,log2,False,0.8050285462522717,0.04272902857491751,264
800,,5,1,log2,False,0.8050285462522717,0.04272902857491751,264
200,20,5,1,0.5,True,0.8050272734504557,0.043185402888707224,266
500,10,2,2,0.5,True,0.8050257558790592,0.04479038230373962,267
200,30,5,4,log2,True,0.805016454635018,0.04470865124000259,268
200,,2,4,log2,True,0.805016454635018,0.04470865124000259,268
200,20,5,4,log2,True,0.805016454635018,0.04470865124000259,268
200,,5,4,log2,True,0.805016454635018,0.04470865124000259,268
200,20,2,4,log2,True,0.805016454635018,0.04470865124000259,268
200,30,2,4,log2,True,0.805016454635018,0.04470865124000259,268
200,20,2,1,log2,True,0.8049953249010212,0.0431413122700603,274
300,10,2,2,0.5,True,0.8049882082254818,0.044184921770774786,275
300,,10,1,sqrt,False,0.8049667541717916,0.04373968169471075,276
300,30,10,1,sqrt,False,0.8049667541717916,0.04373968169471075,276
500,20,10,1,sqrt,False,0.8049608429864336,0.042924570414115036,278
300,20,10,1,sqrt,False,0.8049324986690654,0.04391501849892857,279
200,10,10,2,log2,True,0.8049266731530607,0.04207196677191676,280
200,30,5,1,0.5,True,0.8049237359181001,0.043285957773253746,281
200,,5,1,0.5,True,0.8049237359181001,0.043285957773253746,281
500,10,2,1,log2,False,0.8049218389538548,0.04172494129583988,283
300,20,10,4,0.5,True,0.8048951835465887,0.04365502474064338,284
300,,10,4,0.5,True,0.8048951835465887,0.04365502474064338,284
300,30,10,4,0.5,True,0.8048951835465887,0.04365502474064338,284
500,10,2,1,sqrt,True,0.8048828593982339,0.04441963792624753,287
800,10,5,1,log2,False,0.8048785392151464,0.041673932372671474,288
200,10,5,1,0.5,True,0.8048185584295584,0.042415197479950616,289
200,30,10,1,sqrt,False,0.8047600707384086,0.04450477556929211,290
200,,10,1,sqrt,False,0.8047600707384086,0.04450477556929211,290
